date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:57	5077/5077	---M-Z	200	added ('OK')	text/css	etag:%2213d5-5bfed2f887485-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-brown.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-brown.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:58	5080/5080	---M-Z	200	added ('OK')	text/css	etag:%2213d8-5bfed3054de09-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-royalblue.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-royalblue.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:59	5098/5098	---M-Z	200	added ('OK')	text/css	etag:%2213ea-5bfed2fe598e7-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-darkyellow.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-darkyellow.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:01	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%2215851-5bfed2ec4b5d1-gzip%22	http://exill.dk/demo/kitzu/template/js/jquery.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/jquery.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:01	78635/78635	---M-Z	200	added ('OK')	application/javascript	etag:%221332b-5bfed2d7fb07c-gzip%22	http://exill.dk/demo/kitzu/template/js/bootstrap.bundle.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/bootstrap.bundle.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:02	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:%2215da-5bfed2d924e3c-gzip%22	http://exill.dk/demo/kitzu/template/js/imagesloaded.pkgd.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/imagesloaded.pkgd.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:02	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:%228a75-5bfed2dbf0baa-gzip%22	http://exill.dk/demo/kitzu/template/js/isotope.pkgd.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/isotope.pkgd.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:04	2247/2247	---M-Z	200	added ('OK')	application/javascript	etag:%228c7-5bfed2d0fee5a-gzip%22	http://exill.dk/demo/kitzu/template/js/animatedModal.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/animatedModal.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:06	31812/31812	---M-Z	200	added ('OK')	application/javascript	etag:%227c44-5bfed2f3b1f1f-gzip%22	http://exill.dk/demo/kitzu/template/js/tiny-slider.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/tiny-slider.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:07	6630/6630	---M-Z	200	added ('OK')	application/javascript	etag:%2219e6-5bfed2ed04ea5-gzip%22	http://exill.dk/demo/kitzu/template/js/lity.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/lity.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:10	6119/6119	---M-Z	200	added ('OK')	application/javascript	etag:%2217e7-5bfed2edd1ffb-gzip%22	http://exill.dk/demo/kitzu/template/js/main.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/main.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:11	46363/46363	---M-Z	200	added ('OK')	application/javascript	etag:%22b51b-5bfed2f1854a2-gzip%22	http://exill.dk/demo/kitzu/template/js/simplebar.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/simplebar.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:11	338/338	---M-Z	200	added ('OK')	application/javascript	etag:%22152-5bfed2d870389-gzip%22	http://exill.dk/demo/kitzu/template/js/custom.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/custom.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:11	62591/62591	---M-Z	200	added ('OK')	application/javascript	etag:%22f47f-5bfed2e413cad-gzip%22	http://exill.dk/demo/kitzu/template/js/jquery.mb.YTPlayer.min.js	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/js/jquery.mb.YTPlayer.min.js	(from http://exill.dk/demo/kitzu/template/video.html)
21:31:22	50556/50556	---M--	200	added ('OK')	font/woff2	etag:%22c57c-5bfed27d96c4a%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.woff2?v=4.5.7	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/fonts/ionicons9a08.woff2	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:31:25	112662/112662	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b816-5bfed24d89a92%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.eot?v=4.5.7	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/fonts/ionicons9a08.eot	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:31:27	65916/65916	---M--	200	added ('OK')	application/font-woff	etag:%221017c-5bfed2760a198%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.woff?v=4.5.7	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/fonts/ionicons9a08.woff	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:31:28	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20May%202021%2013:31:25%20GMT	http://exill.dk/demo/kitzu/template/css/font/ytp-regular.eot	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/font/ytp-regular.eot	(from http://exill.dk/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css)
21:31:33	112484/112484	---M--	200	added ('OK')	application/font-sfnt	etag:%221b764-5bfed26d6df09%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.ttf?v=4.5.7	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/fonts/ionicons9a08.ttf	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:31:35	41865/41865	---M--	200	added ('OK')	image/jpeg	etag:%22a389-5bfed2cf5de4d%22	http://exill.dk/demo/kitzu/template/img/video.jpg	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/img/video.jpg	(from http://exill.dk/demo/kitzu/template/css/main.css)
21:31:41	312755/312755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c5b3-5bfed26424ec7%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.svg?v=4.5.7	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/fonts/ionicons9a08.svg	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
